Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.09.2002;77.67;17.95;16.42;32.99;32.51;40.04;33.9;42.02;9.29;15.26;27.15;21.77;4.27;34.57;13.28;101.47;29.8;32.95;11.13;26.7;2769.03
01.10.2002;95.09;18.72;18.03;37.1;36.05;43.33;34.75;40.24;11.29;14.46;28.35;21.35;4.49;36.88;11.98;122.75;31.39;46.31;10.51;27.75;3152.85
01.11.2002;100.57;19.35;21.63;33.29;34.11;56.04;36.64;45.99;10.82;13.73;27.01;20.37;4.15;36.1;15.13;133.16;28.25;47.84;11.88;29.69;3320.32
01.12.2002;81.26;18.04;19.24;35.37;28.92;44.65;29.35;40.06;8.56;12.27;26.19;20.18;4.11;33.43;13.09;108.43;24.7;39.25;10.59;25;2892.63
01.01.2003;66.23;17.26;15.42;33.37;27.26;40.34;28.48;36.02;8.45;13.49;21.01;18.81;3.82;28.91;13.78;84.65;25.63;36.97;10.24;28.5;2747.83
01.02.2003;59.57;16.91;11.53;33.57;26;35.48;28.4;34.4;7.66;12.64;16.39;18.88;4.15;25.39;13.41;79.49;20.48;35.64;8.86;27.2;2547.05
01.03.2003;40.7;17.06;11.75;34.12;25.44;37.16;26.79;35.13;7.94;12.06;19.48;18.78;4.03;27.84;13.97;49.93;20.5;36.63;7.32;21.94;2423.87
01.04.2003;63.35;19.99;15.39;37.13;29.87;53.04;28.9;42.28;9.2;13.69;20.39;19.39;4.54;32.24;16.24;85.12;24.1;43.29;9.12;22.85;2942.04
01.05.2003;64.4;18.43;16.35;39.16;29.37;58.44;26.75;45.44;8.94;13.98;17.68;18.43;4.36;26.98;14.4;87.25;24.69;39.05;9;21.75;2982.68
01.06.2003;72.38;18.6;18.99;38.8;33.5;73;30.4;51.54;9.94;14.29;17.35;17.97;4.2;30.79;14.65;84.44;26.29;41.4;9.98;26.11;3220.58
